"Sp","Betacov","R.Alb","Rank","PropRank","InSample"
"Pipistrellus tenuis",0,0.000476644423260248,2,0.000476644423260248,0
"Rhinolophus luctus",0,0.000714966634890372,3,0.000714966634890372,0
"Myotis muricola",0,0.000953288846520496,4,0.000953288846520496,0
"Bos.taurus",0,NA,1,0.0018450184501845,0
"Pipistrellus javanicus",0,0.00190657769304099,8,0.00190657769304099,0
"Myotis formosus",0,0.00333651096282174,14,0.00333651096282174,0
"Myotis siligorensis",0,0.00357483317445186,15,0.00357483317445186,0
"Eidolon.helvum",0,NA,1,0.00366300366300366,0
"Scotomanes ornatus",0,0.00381315538608198,16,0.00381315538608198,0
"Kerivoula hardwickii",0,0.00405147759771211,17,0.00405147759771211,0
"Myotis chinensis",0,0.00476644423260248,20,0.00476644423260248,0
"Barbastella leucomelas",0,0.0050047664442326,21,0.0050047664442326,0
"Myotis laniger",0,0.00619637750238322,26,0.00619637750238322,0
"Scotophilus heathii",0,0.00691134413727359,29,0.00691134413727359,0
"Murina cyclotis",0,0.00738798856053384,31,0.00738798856053384,0
"Rhinolophus malayanus",0,0.00786463298379409,33,0.00786463298379409,0
"Kerivoula picta",0,0.00810295519542421,34,0.00810295519542421,0
"Macroglossus sobrinus",0,0.00869876072449952,36.5,0.00869876072449952,0
"Pipistrellus ceylonicus",0,0.00869876072449952,36.5,0.00869876072449952,0
"Myotis altarium",0,0.00905624404194471,38,0.00905624404194471,0
"Rhinolophus shortridgei",0,0.00929456625357483,39,0.00929456625357483,0
"Harpiocephalus harpia",0,0.00953288846520496,40,0.00953288846520496,0
"Myotis montivagus",0,0.00989037178265014,41.5,0.00989037178265014,0
"Nyctalus leisleri",0,0.00989037178265014,41.5,0.00989037178265014,0
"Rhinolophus lepidus",0,0.0103670162059104,43.5,0.0103670162059104,0
"Pipistrellus paterculus",0,0.0114394661582459,48,0.0114394661582459,0
"Rhinolophus marshalli",0,0.0121544327931363,51,0.0121544327931363,0
"Rhinolophus acuminatus",0,0.0123927550047664,52,0.0123927550047664,0
"Myotis bechsteinii",0,0.0140610104861773,59,0.0140610104861773,0
"Myonycteris angolensis",0,0.0148951382268827,62.5,0.0148951382268827,0
"Rhinolophus trifoliatus",0,0.0152526215443279,64,0.0152526215443279,0
"Murina tubinaris",0,0.0157292659675882,66,0.0157292659675882,0
"Rhinolophus paradoxolophus",0,0.0159675881792183,67,0.0159675881792183,0
"Glischropus tylopus",0,0.0162059103908484,68,0.0162059103908484,0
"Kerivoula papillosa",0,0.0164442326024785,69,0.0164442326024785,0
"Rhinolophus siamensis",0,0.0171591992373689,72,0.0171591992373689,0
"Sphaerias blanfordi",0,0.017397521448999,73,0.017397521448999,0
"Epomophorus minor",0,0.0182316491897045,76.5,0.0182316491897045,0
"Plecotus austriacus",0,0.0185891325071497,78,0.0185891325071497,0
"Phoniscus jagorii",0,0.0203765490943756,85.5,0.0203765490943756,0
"Falsistrellus affinis",0,0.0209723546234509,88,0.0209723546234509,0
"Coelops frithii",0,0.0214489990467112,90,0.0214489990467112,0
